City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
443,Finschhafen,PG,78.17,scattered clouds,-6.6024,147.8681,Cossam Guest House
447,Kwinana,AU,61.93,broken clouds,-32.25,115.7667,Rockingham Apartments
448,Boyolangu,ID,73.31,broken clouds,-8.1181,111.8935,Yos ega cv
449,Tsuruoka,JP,72.66,overcast clouds,38.7217,139.8217,Hotel Route-Inn Tsuruoka Inter
450,Yulara,AU,50.14,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
452,Salalah,OM,77.14,light rain,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
454,Norman Wells,CA,60.84,broken clouds,65.282,-126.8329,Heritage Hotel
455,Bagan,RU,63.32,few clouds,54.1001,77.6646,Motel'
459,Jahazpur,IN,79.95,overcast clouds,25.6167,75.2833,Hotel Janaki Palace and Guest House
460,Tailai,CN,72.97,clear sky,46.3833,123.4,Pearl Garden Hotel
461,Tucuman,AR,66.2,broken clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
464,Roald,NO,59.16,scattered clouds,62.5833,6.1333,Flem Cabins
466,Kargil,IN,68.81,overcast clouds,34.5667,76.1,Hotel Caravan Sarai Kargil
468,Constitucion,CL,59.34,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
470,Namie,JP,76.71,light rain,37.4833,141.0,いこいの村なみえ
471,Kuala Terengganu,MY,78.75,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
472,Plettenberg Bay,ZA,54.63,clear sky,-34.0527,23.3716,Thanda Vista B&B
475,Le Port,RE,67.96,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
476,Marystown,CA,69.85,scattered clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
477,Ylivieska,FI,78.89,overcast clouds,64.0833,24.55,hotel Käenpesä
478,Dubovskoye,RU,72.93,few clouds,47.4092,42.7575,Anzhi
482,San Pablo,PH,76.91,overcast clouds,14.0669,121.3258,Ang Tahanan ni Aling Meding Hotel and Restaurant
485,Tlaltenango,MX,74.89,scattered clouds,19.1667,-98.3333,CASA VALENCIA
486,Conde,BR,76.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
487,Lengshuijiang,CN,79.93,broken clouds,27.6881,111.4294,Sheraton
490,Guarapari,BR,75.88,few clouds,-20.6667,-40.4975,Hotel Porto do Sol
491,Yakeshi,CN,64.8,clear sky,49.2833,120.7333,Longhua Hotel
492,Namatanai,PG,78.73,light rain,-3.6667,152.4333,Seagulls Inn Namatani
496,Metro,ID,74.39,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
498,Amga,RU,63.7,clear sky,60.8953,131.9608,Algys
499,Shingu,JP,77.77,broken clouds,33.7333,135.9833,Shingu UI Hotel
500,Samarai,PG,79.41,clear sky,-10.6167,150.6667,Nuli Sapi
505,Taian,CN,75.02,clear sky,36.1853,117.12,Taishan International Youth Hostel
507,Grand-Lahou,CI,77.68,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
508,Klyuchi,RU,73.99,overcast clouds,52.2667,79.1667,Vesolaya Mayovka
511,Saint-Joseph,RE,65.21,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
512,Ballina,AU,59.04,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
513,Salta,AR,74.57,clear sky,-24.7859,-65.4117,Hotel Alejandro I
515,Williams Lake,CA,67.57,few clouds,52.1415,-122.1445,Stampeder Motel
516,Kiruna,SE,58.12,overcast clouds,67.8557,20.2251,Camp Ripan
519,Pringsewu,ID,73.62,overcast clouds,-5.3582,104.9744,Urban Style by Front One
520,Kingori,TZ,66.58,broken clouds,-3.2833,36.9833,Rafiki Hostel
521,Newport,GB,74.12,few clouds,51.5877,-2.9984,ibis budget Newport
522,Imbituba,BR,78.1,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
524,Palekh,RU,59.94,scattered clouds,56.8028,41.8572,Hostel Palekh
525,Ust-Nera,RU,52.09,scattered clouds,64.5667,143.2,Hotel Ust-Nera
527,Khor,RU,63.01,overcast clouds,47.8861,134.9464,Gostinitsa Deksi
529,Yuanping,CN,71.62,overcast clouds,38.7153,112.7575,Yuanping Xinghe Guesthouse
531,Vardo,NO,58.98,clear sky,70.3705,31.1107,Vardø Hotel AS
534,Lufilufi,WS,71.38,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
535,Olafsvik,IS,52.47,broken clouds,64.8945,-23.7142,Hotel Olafsvik
537,Luchegorsk,RU,61.29,scattered clouds,46.4764,134.2569,Mirazh
539,Prince George,CA,67.24,few clouds,53.9166,-122.753,Canadas Best Value Inn Prince George
543,Liku,ID,75.22,broken clouds,-0.7275,119.8922,Kost annisa
544,Tuy Hoa,VN,76.44,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
545,Tapes,BR,66.74,overcast clouds,-30.6733,-51.3958,Cabanas Camping Union
547,Samfya,ZM,72.19,broken clouds,-11.3649,29.5565,Chita Lodge Samfya
553,Zaysan,KZ,71.22,broken clouds,47.4667,84.8667,Ерлан үй
556,Jinchang,CN,59.54,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
557,Mainburg,DE,78.22,few clouds,48.65,11.7833,Heimat Mainburg | Hotel • Café • Weinbar
558,Half Moon Bay,US,76.59,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
562,Mendoza,AR,60.33,clear sky,-32.8908,-68.8272,Hotel Mendoza
564,Sundsvall,SE,73.36,clear sky,62.3913,17.3063,Clarion Collection Hotel Grand Sundsvall
565,Olinda,BR,74.93,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
566,Seoul,KR,74.64,broken clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
569,Sao Jose Da Coroa Grande,BR,78.17,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
573,Maarianhamina,AX,71.46,broken clouds,60.0973,19.9348,Park Alandia Hotel
574,Talnakh,RU,56.21,light rain,69.4865,88.3972,Talnakh Hotel
577,Yekepa,LR,77.22,overcast clouds,7.5753,-8.5419,Alvino Hotel
578,Taonan,CN,72.45,few clouds,45.3333,122.7833,Makro Hotel
