City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
236,Kitui,KE,-1.367,38.0106,66.52,62,80,14.52,broken clouds
237,Teya,RU,60.3778,92.6267,56.25,86,73,2.42,broken clouds
238,Muncar,ID,-8.4333,114.3333,74.89,82,58,3.74,broken clouds
239,Sisimiut,GL,66.9395,-53.6735,48.22,90,100,15.84,overcast clouds
240,Hualmay,PE,-11.0964,-77.6139,65.59,72,64,9.73,broken clouds
241,Rio Gallegos,AR,-51.6226,-69.2181,33.85,75,0,31.07,clear sky
242,Ishigaki,JP,24.3448,124.1572,82.53,94,40,5.75,scattered clouds
243,Nova Vicosa,BR,-17.8919,-39.3719,76.91,63,2,8.59,clear sky
244,Pangnirtung,CA,66.1451,-65.7125,44.6,100,100,5.75,light rain
245,Thongwa,MM,16.7619,96.5278,77.16,92,100,7.63,light rain
246,Sinnamary,GF,5.3833,-52.95,83.05,72,32,7.74,scattered clouds
247,Jaguey Grande,CU,22.5269,-81.1286,93.33,40,10,7.05,clear sky
248,Klaksvik,FO,62.2266,-6.589,50.92,82,43,10.6,scattered clouds
249,Faanui,PF,-16.4833,-151.75,77.22,73,19,12.39,few clouds
250,Kermanshah,IR,34.3142,47.065,92.3,32,0,16.11,clear sky
251,Marsh Harbour,BS,26.5412,-77.0636,83.5,71,9,11.54,clear sky
252,Kedrovyy,RU,56.1667,91.8167,57.87,95,100,4.43,light rain
253,Namtsy,RU,62.7161,129.6658,68.38,76,54,2.51,broken clouds
254,Narsaq,GL,60.9167,-46.05,66.42,71,8,8.03,clear sky
255,Vao,NC,-22.6667,167.4833,73.29,90,16,20.42,few clouds
256,Cidreira,BR,-30.1811,-50.2056,72.45,71,97,1.68,overcast clouds
257,Palmas,BR,-10.2128,-48.3603,89.47,31,75,8.05,broken clouds
258,Esperance,AU,-33.8667,121.9,53.44,72,63,18.45,broken clouds
259,Denpasar,ID,-8.65,115.2167,78.46,83,40,13.8,scattered clouds
260,Vyartsilya,RU,62.1764,30.693,77.61,82,16,5.14,few clouds
261,Karratha,AU,-20.7377,116.8463,70.75,84,1,7.81,clear sky
262,Kupang,ID,-10.1667,123.5833,75.04,80,25,11.72,scattered clouds
263,Inongo,CD,-1.95,18.2667,73.0,77,74,3.22,light rain
264,Meadow Lake,US,34.8014,-106.5436,89.2,39,30,6.04,scattered clouds
265,Petrovac,RS,44.3769,21.4192,92.25,18,0,11.3,clear sky
266,Vostok,RU,46.4856,135.8833,58.69,99,53,2.15,broken clouds
267,Lavrentiya,RU,65.5833,-171.0,39.43,89,100,22.01,light rain
268,Wagar,SD,16.1525,36.2032,93.29,34,63,8.14,broken clouds
269,Wewak,PG,-3.5534,143.6268,79.2,84,89,5.7,overcast clouds
270,Gasa,PS,31.5,34.4667,82.89,74,3,9.89,clear sky
271,Jibuti,DJ,11.5,42.5,94.73,27,79,6.85,broken clouds
272,Kurud,IN,20.8322,81.7214,80.58,90,100,8.61,overcast clouds
273,Taltal,CL,-25.4,-70.4833,62.06,74,20,5.41,few clouds
274,Kaeo,NZ,-35.1,173.7833,50.32,95,35,3.74,scattered clouds
275,Bull Savanna,JM,17.8868,-77.5902,87.37,57,2,17.92,clear sky
276,Pokhara,NP,28.2333,83.9833,72.37,87,99,3.74,overcast clouds
277,Arrecife,ES,28.963,-13.5477,84.18,58,0,25.32,clear sky
278,Kavieng,PG,-2.5744,150.7967,81.0,80,100,10.04,light rain
279,Bismil,TR,37.8486,40.6658,98.33,18,0,10.92,clear sky
280,Taksimo,RU,56.3444,114.8794,62.53,78,100,1.81,overcast clouds
281,Ust-Uda,RU,54.1742,103.0304,58.17,75,100,2.66,overcast clouds
